,Title,Artist,ReleaseDate,Lyrics,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo
164,Feels Like Tonight,Kidz Bop Kids,2008-07-29,"You, you got me thinking it'll be alright
You, you told me, ""Come and take a look inside""
You believed me in every single lie
But I, I failed you this time

And it feels like tonight
I can't believe I'm broken inside
Can't you see that there's nothing that I wanna do
But try to make it up to you?
And it feels like tonight, tonight

I was waiting for the day you'd come around
I was chasing and nothing was all I found
From the moment you came into my life
You, you showed me what's right

And it feels like tonight
I can't believe I'm broken inside
Can't you see that there's nothing that I wanna do
But try to make it up to you?
And it feels like tonight

I never felt like this before
Just when I leave, I'm back for more
Nothing else here seems to matter, oh
In these ever changing days
You're the one thing that remains
I could stay like this forever

And it feels like tonight
I can't believe I'm broken inside
Can't you see that there's nothing that I wanna do
But try to make it up to you?
And it feels like tonight, tonight, tonight",10,0.0184,0.633,0.762,0,0.175,-6.053,0.0362,0.326,131.033
165,Feel So Close,Kidz Bop Kids,2012-07-17,"I feel so close to you right now
It's a force field
I wear my heart upon my sleep
Like a big deal
Your love pours down on me surround me
Like a waterfall
And there's no stopping us right now
I feel so close to you right now

I feel so close to you right now
It's a force field
I wear my heart upon my sleep
Like a big deal
Your love pours down on me surround me
Like a waterfall
And there's no stopping us right now
I feel so close to you right now

And there's no stopping us right now
And there's no stopping us right now
And there's no stopping us right now
I feel so close to you right now",18,0.00804,0.568,0.764,0.00037,0.085,-7.213,0.0333,0.615,128.107
166,Feel This Moment,Kidz Bop Kids,2013-07-16,"Ask for money, and get advice
Ask for advice, get money twice
I'm from the dirty but that chico nice
Ya'll call it a moment, I call it life
One day while my light is glowing
I???ll be in my castle golden
But until the gates are open
I just wanna feel this moment (ohhh)
I just wanna feel this moment (ohhh)
I just wanna feel this moment
Mr Worldwide
Christina Aguilera
Oye mamita, come on, dale, que la cosa esta rica
(I just wanna feel this moment)
Feel this moment
Reporting live from the tallest building in Tokyo
Long ways from the hard ways
Filled with ""So""'s and ""Oh, yeah""'s
Dade county always, 305 all day
Now baby we can parlay, or, baby, we can party
She read books, especially about red rooms and tie ups
I got her hooked, cause she seen me in a suit with a red tie tied up
Meet and greet, nice to meet ya
But time is money
Only difference is I own it
Now let's stop time and enjoy this moment
One day while my light is glowing
I???ll be in my castle golden
But until the gates are open
I just wanna feel this moment (ohhh)
I just wanna feel this moment (ohhh)
I just wanna feel this moment
Come on, feel this moment
I see the future but live for the moment
Make sense, don't it? Ha
Now make dollars, I mean billions, I'm a genius, I mean brilliance
This street is what scoot em
And made em slicker, too slick with the ruler
I've lost a lot, and learned a lot
But I'm still undefeated like Shula
I'm far from cheap, I break down companies with all my peeps
Baby we can travel the world
And I can give you all you can see
Time is money
Only difference is I own it
Like a stop watch, let's stop time and enjoy this moment, dale
One day while my light is glowing
I???ll be in my castle golden
But until the gates are open
I just wanna feel this moment (ohhh)
I just wanna feel this moment (ohhh)
I just wanna feel this moment
Come on, feel this moment
(ohhh) I just wanna feel this moment
(ohhh) I just wanna feel this moment",21,0.0218,0.652,0.732,0,0.161,-6.653,0.177,0.449,135.981
167,Feliz Navidad,Kidz Bop Kids,2018-09-14,"Feliz Navidad
Feliz Navidad
Feliz Navidad
Prospero Ano y Felicidad

Feliz Navidad
Feliz Navidad
Feliz Navidad
Prospero Ano y Felicidad

I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
I wanna wish you a Merry Christmas
From the bottom of my heart

[Repeats]",37,0.0546,0.69,0.978,0,0.218,-4.064,0.0654,0.972,146.938
168,Finesse,Kidz Bop Kids,2018-07-13,"[Verse 1]
Drop top Porsche (Porsche), Rollie on my wrist (wrist)
Diamonds up and down my chain (aha)
KB, straight stuntin', can't tell me nothin'
Bossed up and I changed the game (you see me?)
It's the big Bronx boogie, got all them girls shook (shook)
The big dance moves got all them kids hooked (hooked)
I went from dollar bills, now we poppin' rubber bands (ha)
Come on sing to me while I do my money dance like ayy
Flexin' on the 'Gram like ayy
Hit the Lil' Jon, okay (okay), okay (okay)
Oh yeah, we drippin' in finesse and getting paid, ow

[Verse 2]
Ooh, don't we look good together?
There's a reason why they watch all night long (all night long)
Yeah, I know we'll turn heads forever (forever)
So tonight, I'm gonna show you off

[Pre-Chorus: Bruno Mars]
When I'm walkin' with you
I watch the whole room change
Baby, that's what you do
No, my baby, don't play
Blame it on my confidence
Oh, blame it on the way we dance
Shut the thing down on sight
That's right

[Chorus: Bruno Mars]
We out here drippin' in finesse
It don't make no sense
Out here drippin' in finesse
You know it, you know it
We out here drippin' in finesse
It don't make no sense
Out here drippin' in finesse
You know it, you know it

[Verse 3]
Now slow it down with me, baby
'Cause I love the way we dance all the time (all the time)
Yeah, our connection's so magnetic on the floor
Nothing can stop us tonight

[Pre-Chorus]
When I'm walkin' with you
I watch the whole room change
Baby, that's what you do
No, my baby, don't play
Blame it on my confidence
Oh, blame it on the way we dance
Shut the thing down on sight
That's right

[Chorus]
We out here drippin' in finesse
It don't make no sense
Out here drippin' in finesse
You know it, you know it

[Bridge]
Fellas, tell you girls, yeah if your girl is right
Tell her she's the one, she's the one for life (woo)
Ladies, tell your fellas and let's do this right (do this right)
If you're on one like me in mind (ow!)

[Chorus]
We out here drippin' in finesse with my baby
It don't make no sense
Out here drippin' in finesse
You know it, you know it (yeah, you know we got it goin' on)

[Outro]
Yeah, we got it goin' on, got it goin' on
Don't it feel so good to be us, ayy?
Yeah, we got it goin' on, got it goin' on
You know it, you know it
Yeah, we got it goin' on, got it goin' on
Don't it feel so good to be us, ayy?
Yeah, we got it goin' on, got it goin' on
You know it, you know it",44,0.0447,0.779,0.877,0,0.0462,-2.766,0.157,0.934,104.99
169,Fire Burning,Kidz Bop Kids,2010-05-03,"Fire burning, Kidz Bop
Fire burning
Kidz Bop, let's go, hey, hey, hey
Hey, hey, hey
Shawty got that super dance
Hotter than the sun in the south in Spain
Got me soon as I walked through the door
My hips started wiggling
The way she dance around that girl
Got me wanna dance with her all night
She get it, pop it, lock it, drop it, that birthday cake
Got a candle, need to blow that crazy flame away
Now take my red, black card and my jewelry
Shawty is cool like the fire, cool like fire
Somebody call 911
Shawty fire burning on the dance floor, whoa
I gotta cool it down
She wanna bring the roof to ground on the dance floor, whoa
She's fire burning, fire burning on the dance floor
That little shawty's fire burning on the dance floor
She's fire burning, fire burning on the dance floor
That little shawty's fire burning on the dance floor
Fire burning, fire burning
That move is a masterpiece
The order is one in every hundred years
But ain't no doubt, I'm dancing some more
I'm afraid we'll blow the chance
Little mama game is about to change
She'll be on covers over the world
She get it, pop it, lock it, drop it, that birthday cake
Got a candle, need to blow that crazy flame away
Now take my red, black card and my jewelry
Shawty is cool like the fire, cool like fire
Somebody call 911
Shawty fire burning on the dance floor, whoa
I gotta cool it down
She wanna bring the roof to ground on the dance floor, whoa
She's fire burning, fire burning on the dance floor
That little shawty's fire burning on the dance floor
She's fire burning, fire burning on the dance floor
That little shawty's fire burning on the dance floor
She get it, pop it, lock it, drop it, that birthday cake
Got a candle, need to blow that crazy flame away
Now take my red, black card and my jewelry
Shawty is cool like the fire, cool like fire
Somebody call 911
Shawty fire burning on the dance floor, whoa
I gotta cool it down
She wanna bring the roof to ground on the dance floor, whoa
She's fire burning, fire burning on the dance floor
That little shawty's fire burning on the dance floor
She's fire burning, fire burning on the dance floor
That little shawty's fire burning on the dance floor
Somebody call 911",18,0.000395,0.81,0.79,1.05e-06,0.122,-6.795,0.0385,0.833,123.02
170,Fireflies,Kidz Bop Kids,2010-01-26,"You would not believe your eyes
If ten million fireflies
Lit up the world as I fell asleep

'Cause they'd fill the open air
And leave teardrops everywhere
You'd think me rude
But I would just stand and stare

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay
Awake when I'm asleep
'Cause everything is never as it seems

'Cause I'd get a thousand hugs
From ten thousand lightning bugs
As they tried to teach me how to dance

A foxtrot above my head
A sock hop beneath my bed
A disco ball is just hanging by a thread

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay
Awake when I'm asleep
'Cause everything is never as it seems
When I fall asleep

Leave my door open just a crack
(Please take me away from here)
'Cause I feel like such an insomniac
(Please take me away from here)

Why do I tire of counting sheep
(Please take me away from here)
When I'm far too tired to fall asleep

To ten million fireflies
I'm weird 'cause I hate goodbyes
I got misty eyes as they said farewell
(Said farewell)

But I'll know where several are
If my dreams get real bizarre
'Cause I saved a few
And I keep them in a jar

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay
Awake when I'm asleep
'Cause everything is never as it seems
When I fall asleep

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay
Awake when I'm asleep
'Cause everything is never as it seems
When I fall asleep

I'd like to make myself believe
That planet Earth turns slowly
It's hard to say that I'd rather stay
Awake when I'm asleep
Because my dreams are bursting at the seams",22,0.00612,0.687,0.579,0,0.129,-9.221,0.0363,0.376,90.042
171,Firework,Kidz Bop Kids,2011-01-18,"Do you ever feel like a plastic bag
Drifting through the wind
Wanting to start again

Do you ever feel, feel so paper thin
Like a house of cards
One blow from caving in

Do you ever feel already buried deep
Six feet under screams
But no one seems to hear a thing

Do you know that there's still a chance for you
Cause there's a spark in you

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

Cause baby you're a firework
Come on show 'em what your worth
Make 'em go ""oh, oh, oh!""
As you shoot across the sky-y-y

Baby you're a firework
Come on let your colors burst
Make 'em go ""oh, oh, oh!""
You're gonna leave 'em falling down down down

You don't have to feel like a waste of space
You're original, cannot be replaced
If you only knew what the future holds
After a hurricane comes a rainbow

Maybe a reason why all the doors are closed
So you could open one that leads you to the perfect road
Like a lightning bolt, your heart will glow
And when it's time, you'll know

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause baby you're a firework
Come on show 'em what your worth
Make 'em go ""oh, oh, oh!""
As you shoot across the sky-y-y

Baby you're a firework
Come on let your colors burst
Make 'em go ""oh, oh, oh!""
You're gonna leave 'em all in awe-awe-awe

Boom, boom, boom
Even brighter than the moon, moon, moon
And it's always been inside of you you you
And now it's time to let it through

'Cause baby you're a firework
Come on show 'em what your worth
Make 'em go ""oh, oh, oh!""
As you shoot across the sky-y-y

Baby you're a firework
Come on let your colors burst
Make 'em go ""oh, oh, oh!""
You're gonna leave 'em all in awe awe awe

Boom, boom, boom
Even brighter than the moon, moon, moon
Boom, boom, boom
Even brighter than the moon, moon, moon",25,0.0141,0.685,0.682,2.19e-06,0.104,-5.683,0.0368,0.583,124.016
172,First Time,Kidz Bop Kids,2008-02-19,"We're both looking for something
We've been afraid to find
It's easier to be broken, it's easier to hide

Looking at you, holding my breath
For once in my life I'm scared to death
I'm taking a chance, letting you inside

Feeling alive all over again
As deep as the sky under my skin
Like being in love, she says for the first time

Maybe I'm wrong but I'm feeling right
Where I belong with you tonight
Like being in love to feel for the first time

The world that I see inside you
Waiting to come alive
Waking me up to dreaming, reality in your eyes

Looking at you, holding my breath
For once in my life I'm scared to death
I'm taking a chance, letting you inside

I'm feeling alive all over again
As deep as the sky under my skin
Like being in love, she says for the first time

Maybe I'm wrong but I'm feeling right
Where I belong with you tonight
Like being in love to feel for the first time

We're crashing
Into the unknown
We're lost in this
But it feels like home

Feeling alive all over again
As deep as the sky under my skin
Like being in love, she says for the first time

Maybe I'm wrong but I'm feeling right
Where I belong with you tonight
Like being in love to feel for the first time

Like being in love, she says for the first time
Like being in love to feel for the first time",10,0.0178,0.614,0.782,0,0.0736,-5.86,0.0348,0.517,129.95
173,Float On,Kidz Bop Kids,2005-02-22,"I backed my car into a cop car the other day
And he just drove off, sometimes life's okay
I ran my mouth off a bit too much, oh, what did I say
You laughed it off, it was all okay

And we all float on okay
Yeah, we all float on okay
Yeah, we all float on alright already
We all float on okay

A fake Jamaican took every last dime with that scam
It was worth it to learn from sleight-of-hand
Bad news comes, don't you worry even when it lands
Good news will work its way to all them plans

And we all float on okay
Yeah, we all float on okay
Yeah, we all float on alright already
We all float on okay

We both got fired on exactly the same day
We'll float on good news is on the way
Bad news comes, don't you worry even when it lands
Good news is on the way

And we all float on okay
Yeah, we all float on okay
Yeah, we all float on now don't worry
We all float on",13,0.0354,0.735,0.707,0,0.224,-7.436,0.0378,0.709,100.957
174,Fly,Kidz Bop Kids,2012-01-17,"All around the world, statues crumble for me
Who knows how long I've loved you?
Everywhere I go people stop and they see
Twenty five years old, my mother, God rest her soul

I just wanna fly
Put your arms around me, baby
Put your arms around me, baby
I just wanna fly
Put your arms around me, baby
Put your arms around me, baby

Dance a little stranger show me, where you've been?
Love can make you hostage wanna do it again
There's no time to think about the startin' or the end
We'll find out I'm told, my mother, she told me so

I just wanna fly
Put your arms around me, baby
Put your arms around me, baby
I just wanna fly
Put your arms around me, baby
Put your arms around me, baby
I just want to fly
I just want to fly

All around the world, statues crumble for me
Who knows how long I've loved you?
Everyone I know's been so good to me
Twenty five years old, my mother, God rest her soul

I just wanna fly
Put your arms around me, baby
Put your arms around me, baby
I just wanna fly
Put your arms around me, baby
Put your arms around me, baby
I just want to fly
I just want to fly
...",17,0.0103,0.639,0.856,0,0.151,-5.376,0.0469,0.536,119.93
175,Follow Me,Kidz Bop Kids,2002-08-20,"You don't know how you met me, you don't know why
You can't turn around and say good-bye
All you know is when I'm with you I make you free
And swim through your veins like a fish in the sea, I'm singing

Follow me, everything is alright
I'll be the one to tuck you in at night
And if you want to leave, I can guarantee
You won't find nobody else like me

I'm not worried 'bout the ring you wear
'Cause as long as no one knows then nobody can care
Your feelin' guilty and I'm well aware
But you don't look ashamed and baby I'm not scared, I'm singing

Follow me, everything is alright
I'll be the one to tuck you in at night
And if you want to leave, I can guarantee
You won't find nobody else like me

Won't give you money, I can't give you the sky
You're better off if you don't ask why
I'm not the reason that you go astray and
We'll be alright if you don't ask me to stay

Follow me, everything is alright
I'll be the one to tuck you in at night
And if you want to leave I can guarantee
You won't find nobody else like me

You don't know how you met me
You don't know why, you can't turn around and say good-bye
All you know is when I'm with you I make you free
And swim through your veins like a fish in the sea, I'm singing

Follow me, everything is alright
I'll be the one to tuck you in at night
And if you want to leave I can guarantee
You won't find nobody else like me, I'm singing

Follow me, everything is alright
I'll be the one to tuck you in at night
And if you want to leave I can guarantee
You won't find nobody else like me, I'm singing

Follow me, everything is alright
I'll be the one to tuck you in at night
And if you want to leave I can guarantee
You won't find nobody else like me",10,0.343,0.841,0.344,1.49e-05,0.111,-12.208,0.0387,0.767,104.976
176,I Don't Wanna Live Forever,Kidz Bop Kids,2017-07-14,"1, 2, 3, 4
Hey, forever

It's you, and me, movin' at the speed of light into eternity
Tonight, is the night to join me in the middle of ecstasy
Feel the melody and the rhythm of the music around you, around you

I'ma take you there, I'ma take you there
So don't be scared, I'm right here, baby
We can go anywhere, go anywhere
But first it's your chance, take my hand come with me

It's like I waited my whole life for this one night
It's gonna be me, you and the dance floor
'Cause we only got one night, double your pleasure
Double your fun

And dance forever, ever, ever
Forever, ever, ever, forever, ever, ever
Ever, ever, ever
Forever, ever, ever, forever, ever, ever
Forever on the dance floor

Feels like were on another level
Feels like our loves intertwined
We can be two rebels breakin' the rules
Me and you, you and I

All you gotta do is watch me
Look what I can do with my feet, baby feel the beat inside
I'm drivin', you could take the front seat
Just need you to trust me, oh, oh, oh

It's like I waited my whole life for this one night
It's gonna be me, you and the dance floor
'Cause we only got one night, double your pleasure
Double your fun

And dance forever, ever, ever
Forever, ever, ever, forever, ever, ever
Ever, ever, ever
Forever, ever, ever, forever, ever, ever
Forever on the dance floor

Girl, where did you come from? Got me so undone
Gaze in your eyes got me sayin'
There's no one else that matters, you love me
And I won't let you fall girl, let you fall girl

It's like I waited my whole life for this one night
It's gonna be me, you and the dance floor
'Cause we only got one night, double your pleasure
Double your fun

And dance forever, ever, ever
Forever, ever, ever, forever, ever, ever
Forever on the dance floor
Ever, ever, ever
Forever, ever, ever, forever, ever ever
Forever on the dance floor

Ever, ever, ever
Forever, ever, ever, forever, ever, ever
Forever on the dance floor",29,0.162,0.78,0.671,0,0.151,-3.967,0.0426,0.304,118.043
177,Never Forget You,Kidz Bop Kids,2016-01-01,"I see you driving round town
With the girl I love and I'm like
Forget you
(oo, oo, oooo)
I guess the change in my pocket
Wasn't enough I'm like
Forget you
And forget her too!
I said, if I was richer
I'd still be with her
Ha,ain't that some shh(ain't that some shh)
And although there's pain in my chest
I still wish you the best with a
Forget you
Oo, oo, oooo
Yeah I'm sorry, I can't afford a ferrari
But that don't mean I can't get you there
I guess he's a xbox and I'm more of an atari
But the way you play your game ain't fair
I pity the foooool that falls in love with you
( she's a gold digger just thought you should know)
She's a fool
I've got some news for you
Yeah go run and tell your little boyfriend!
I see you driving round town
With the girl I love and I'm like
Forget you
Ooh, ooh, ooooh
I guess the change in my pocket
Wasn't enough I'm like
Forget you
And forget her too!
I said, if I was richer, I'd still be with ya
Ha, now ain't that some shh (ain't that some shh)
Though there's pain in my chest
I still wish you the best with a
Forget you!
Oo, oo, oooo
Now I know, that I had to borrow
And beg and steal and lie and cheat
Tryin to keep ya, trying to please ya
'Cause being in love with you ain't cheap
I pity the fool that falls in love with you
(she's a gold digger just thought you should know sugar)
She's a fool
I've got some news for you
Ooh! I really hate you right now
I see you driving 'round town
With the girl I love and I'm like
Forget you
Oo, oo, oooo
I guess the change in my pocket
Wasn't enough I'm like
Forget you
And forget her too!
I said, if I was richer, I'd still be with ya
Ha, now ain't that some shh (ain't that something)
Although there's pain in my chest
I still wish you the best, with a
Forget you!
Oo, oo, oooo
Now baby, baby, baby, why'd you wanna wanna hurt me so bad?
(so bad, so bad, so bad)
I tried to tell my mamma but she told me
""this is one for your dad""
(your dad, your dad, your dad)
And I'm like Uh! Whyyy? Uh! Whyyy?
Whyyy lady? Oh! I love you!!
I still love you!! Oooh!
I see you driving 'round town
With the girl I love, I'm like
Forget you
Oo, oo, ooo
I guess the change in my pocket
Wasn't enough I'm like
Forget you
And forget her too!
I said, if I was richer, I'd still be with ya
Ha, now ain't that some shh(ain't that something)
And although there's pain in my chest
I still wish you the best, with a
Forget you!
Oo, oo, oooo",25,0.0144,0.623,0.837,0,0.32,-3.913,0.0425,0.347,145.991
178,For You I Will (Confidence),Kidz Bop Kids,2006-08-01,"Alright, alright
Alright

Wandering the streets in a world underneath it all
Nothing seems to be, nothing tastes as sweet as what I can't have
Like you and the way that you're twisting your hair round your finger
Tonight I'm not afraid to tell you what I feel about you

Oh, I'm gonna muster every ounce of confidence I have
And cannon ball into the water
I'm gonna muster every ounce of confidence I have
For you I will, for you I will

Forgive me if I st-stutter from all of the clutter in my head
'Cause I could fall asleep in those eyes like a water bed
Do I seem familiar? I've crossed you in hallways a thousand times
No more camouflage, I want to be exposed and not be afraid to fall

Oh, I'm gonna muster every ounce of confidence I have
And cannon ball into the water
I'm gonna muster every ounce of confidence I have
For you I will

You always want what you can't have
But I've got to try
I'm gonna muster every ounce of confidence I have
For you I will, for you I will
For you I will, for you

If I could dim the lights in the mall and create a mood, yeah, I would
Shout out your name so it echoes in every room, yeah
That's what I'd do, that's what I'd do
To get through to you, yeah

Oh, I'm gonna muster every ounce of confidence I have
And cannon ball into the water
I'm gonna muster every ounce of confidence I have
For you I will

You always want what you can't have
But I've got to try
I'm gonna muster every ounce of confidence I have
For you I will, for you I will
For you I will, for you I will",8,0.34,0.335,0.541,0,0.125,-8.522,0.0665,0.287,86.567
179,FRIENDS,Kidz Bop Kids,2019-05-24,"[Intro]
Ooooh-oh, ooooh-woh
Ooooh-oh, ooooh-woh

[Verse 1]
You say you love me, I say you crazy
We're nothing more than friends
You're not my other, more like a brother
I known you since we were like ten, yeah

[Refrain: Anne-Marie]
Don't mess it up, talking like this
Only gonna push me away, that's it!
When you say you love me, that make me crazy
Here we go again

[Pre-Chorus]
Don't go look at me with that look in your eye
You really ain't going away without a fight
You can't be reasoned with, I'm done being polite
I've told you one, two, three, four, five, six thousand times

[Chorus]
Haven't I made it obvious?
Haven't I made it clear?
Want me to spell it out for you?
F-R-I-E-N-D-S
Haven't I made it obvious?
Haven't I made it clear?
Want me to spell it out for you?
F-R-I-E-N-D-S
F-R-I-E-N-D-S

[Verse 2]
Have you got no shame? You looking insane
Turning up at my door
It's two in the morning, the rain is pouring
Haven't we been here before?

[Refrain]
Don't mess it up, talking like this
Only gonna push me away, that's it!
Have you got no shame? You looking insane
Here we go again

[Pre-Chorus]
Don't go look at me with that look in your eye
You really ain't going away without a fight
You can't be reasoned with, I'm done being polite
I've told you one, two, three, four, five, six thousand times

[Chorus]
Haven't I made it obvious? (Haven't I made it?)
Haven't I made it clear? (Haven't I made it clear?)
Want me to spell it out for you?
F-R-I-E-N-D-S
Haven't I made it obvious?
Haven't I made it clear? (Haven't I?)
Want me to spell it out for you? (to spell it out for you?)
F-R-I-E-N-D-S
F-R-I-E-N-D-S

[Bridge]
F-R-I-E-N-D-S
That's how you always spell ""friends""
F-R-I-E-N-D-S
We're just friends

[Chorus]
Haven't I made it obvious? (Have I not made it obvious?)
Haven't I made it clear? (Yeah, I made it very clear)
Want me to spell it out for you? (Yo)
F-R-I-E-N-D-S (I said F-R-I-E-N-D-S)
Haven't I made it obvious? (I made it very obvious)
Haven't I made it clear? (I made it very clear)
Want me to spell it out for you?
F-R-I-E-N-D-S
F-R-I-E-N-D-S

[Outro: Anne-Marie]
Mmm, ooh, ooh, ooh
Ah, ah-oh, ah-oh",49,0.222,0.702,0.706,0,0.198,-4.434,0.0342,0.72,95.0
180,Frosty The Snowman,Kidz Bop Kids,2018-09-14,"Frosty the Snowman was a jolly happy soul
With a corncob pipe and a button nose
And two eyes made out of coal

Frosty the Snowman is a fairytale they say
He was made of snow but the children know
How he came to life one day

There must have been some magic
In that old silk hat they found
For when they placed it on his head
He began to dance around

Frosty the Snowman was alive as he could be
And the children say he could laugh and play
Just the same as you and me, come on

Thumpety thump thump, thumpety thump thump
Look at Frosty go
Thumpety thump thump, thumpety thump thump
Over the hills of snow

Thumpety thump thump, thumpety thump thump
Look at Frosty go
Thumpety thump thump, thumpety thump thump
Over the hills of snow

Oh Frosty the Snowman knew the sun was hot that day
So he said, ""Let's run and we'll have some fun
Now before I melt away""

Down to the village with a broomstick in his hand
Running here and there, all around the square
Sayin', ""Catch me if you can!""

He led them down the streets of town
Right to the traffic cop
And he only paused a moment
When he heard him holler, ""Stop!""

Hey, Frosty the Snowman had to hurry on his way
But he waved goodbye, sayin', ""Don't you cry
I'll be back again some day""

Thumpety thump thump, thumpety thump thump
Look at Frosty go
Thumpety thump thump, thumpety thump thump
Over the hills of snow

He'll be back, yes he will, again someday
See you next year Frosty!",36,0.00536,0.598,0.93,0,0.0659,-3.052,0.0466,0.941,168.063
181,Galway Girl,Kidz Bop Kids,2019-11-15,"[Chorus]
She played the fiddle in an Irish band
But she fell in love with an English friend
Kissed her on the cheek and then I took her by the hand
Said, ""Baby, I just wanna dance""

[Verse 1]
I met her on Grafton street right outside of the store
She sang a song to me and taught me how to play the guitar
She asked me what does it mean, the Gaelic thing on your arm?
Said it was one of my friend's songs, do you want to sing on?
She took me out to a party just for the fun
We were singing at the table with our friends all singing along
Chatted some more, with our sung guitar
Then put Van on the jukebox, got up to dance

[Chorus]
She played the fiddle in an Irish band
But she fell in love with an English friend
Kissed her on the cheek and then I took her by the hand
Said, ""Baby, I just wanna dance""
With my pretty little Galway Girl
You’re my pretty little Galway Girl (Hey)

[Verse 2]
You know she beat me at darts and then she beat me at pool
And then she look at me like there was nobody else in the room
As song titled were called was when she stood on the stool
After dancing the céili singing to trad tunes
I never heard Carrickfergus ever sung so sweet
A cappella in the back using her feet for a beat
Oh, I could have that voice playing on repeat for a week
And in this packed out room swear she was singing to me

[Chorus]
She played the fiddle in an Irish band
But she fell in love with an English friend
Kissed her on the cheek and then I took her by the hand
Said, ""Baby, I just wanna dance""
My pretty little Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl

[Chorus]
You know she played the fiddle in an Irish band
But she fell in love with an English friend
Kissed her on the cheek and then I took her by the hand
Said, ""Baby, I just wanna dance""
With my pretty little Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl
My, my, my, my, my, my, my Galway Girl (Hey)",35,0.0573,0.687,0.788,0,0.268,-4.012,0.0547,0.871,100.005
